date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2023-12-06,244,807,319,23747696,229
2023-12-07,207,605,252,19061301,193
2023-12-08,290,1433,436,40297672,281
2023-12-09,368,1671,535,51048980,369
2023-12-10,339,1213,440,34782073,329
2023-12-11,254,667,276,21856225,225
2023-12-12,235,624,276,19362195,208
2023-12-13,207,1179,321,26997260,171
2023-12-14,200,640,265,18381899,182
2023-12-15,264,1431,425,38947841,248
2023-12-16,419,1558,522,52485360,406
2023-12-17,286,985,373,27728574,275
2023-12-18,216,529,233,18022393,200
2023-12-19,139,468,142,14558184,129
2023-12-20,157,570,205,17366121,150
2023-12-21,152,479,177,14908074,143
2023-12-22,222,1073,319,29980851,215
2023-12-23,323,1398,437,41152058,322
2023-12-24,329,906,360,27655157,316
2023-12-25,267,752,312,19528419,243
2023-12-26,327,964,363,26533966,305
2023-12-27,362,1298,424,34520350,346
2023-12-28,353,1546,452,47236862,334
2023-12-29,421,1945,535,60067476,388
2023-12-30,497,1575,522,56343930,452
2023-12-31,553,1643,556,67715275,431
2024-01-01,431,1356,443,50157894,344
2024-01-02,416,1512,499,54026337,374
2024-01-03,416,1315,448,45222372,399
2024-01-04,400,1143,391,34388744,355
2024-01-05,350,1095,358,32859845,329
2024-01-06,335,960,367,36728608,308
2024-01-07,294,1066,316,37304758,284
2024-01-08,121,375,123,11970245,118
2024-01-09,22,49,18,3672170,22
2024-01-10,32,63,16,4812150,26
2024-01-11,37,149,56,5784220,37
2024-01-12,102,607,148,15502942,102
2024-01-13,212,1106,286,32985048,207
2024-01-14,176,488,186,14917234,160
2024-01-15,132,444,198,14603381,124
2024-01-16,160,355,135,14299686,133
2024-01-17,83,278,95,6585890,80
2024-01-18,99,450,131,14197780,86
2024-01-19,161,653,240,23657791,152
2024-01-20,261,1022,331,34758703,260
2024-01-20,103,524,234,17426895,101
2024-01-21,169,507,178,15672808,148
2024-01-22,138,391,154,12713952,104
2024-01-23,124,347,130,9066728,85
2024-01-24,110,239,91,6318056,77
2024-01-25,131,408,162,12997887,95
2024-01-26,188,702,266,21268352,158
2024-01-27,302,991,343,35408200,271
2024-01-28,177,548,195,17524234,152
2024-01-29,101,272,116,8423603,68
2024-01-30,102,292,115,8606000,74
2024-01-31,70,192,67,4497028,44
2024-02-01,84,264,100,7762880,58
2024-02-02,193,722,231,20843942,162
2024-02-03,225,907,289,26132022,205
2024-02-04,150,482,165,13705584,126
2024-02-05,122,365,171,9484540,93
2024-02-06,70,204,73,7037771,43
2024-02-07,89,241,90,6605040,58
2024-02-08,79,208,80,5619490,54
2024-02-09,165,736,255,19243129,143
2024-02-10,323,1150,383,39137023,297
2024-02-11,283,795,343,29119983,271
2024-02-12,90,334,107,11621880,78
2024-02-13,74,448,166,4998961,58
2024-02-14,76,188,100,6629840,58
2024-02-15,91,350,174,9886912,72
2024-02-16,194,818,290,23754465,178
2024-02-17,206,708,247,23727740,192
2024-02-18,150,817,248,21435859,130
2024-02-19,84,403,157,10401114,70
2024-02-20,83,436,152,10337976,67
2024-02-21,56,168,54,5318752,43
2024-02-22,153,512,230,14393709,140
2024-02-23,338,1105,367,34903646,304
2024-02-24,268,805,269,25396083,211
2024-02-25,129,486,219,9995437,91
2024-02-26,116,345,116,8737570,75
2024-02-27,70,79,70,2991435,34
2024-02-28,56,94,30,3680760,25
2024-02-29,63,226,108,4911410,31
2024-03-01,116,234,86,6711716,77
2024-03-02,203,643,232,19789369,168
2024-03-03,109,204,114,5583375,72
2024-03-04,83,212,84,6217231,43
2024-03-05,76,100,62,2924680,34
2024-03-06,62,68,32,2163270,22
2024-03-07,86,370,77,6887157,46
2024-03-08,125,497,120,12433879,87
2024-03-09,232,844,274,28257815,193
2024-03-10,124,358,121,9274635,85
2024-03-11,93,202,69,4917021,47
2024-03-12,73,157,93,4338310,29
2024-03-13,86,146,77,4788832,43
2024-03-14,95,155,98,4802620,53
2024-03-15,160,518,191,9916616,128
2024-03-16,183,653,209,18938844,148
2024-03-17,106,233,122,6401846,73
2024-03-18,95,242,87,7682619,57
2024-03-19,96,202,96,6221100,59
2024-03-20,128,283,102,9872596,89
2024-03-21,104,203,92,5893466,57
2024-03-22,137,561,164,12628937,104
2024-03-23,254,851,295,23947884,212
2024-03-24,145,346,135,7547533,107
2024-03-25,91,245,55,4261908,51
2024-03-26,98,226,95,5315094,60
2024-03-27,51,259,63,5470234,41
2024-03-28,56,208,74,5532063,48
2024-03-29,112,467,146,12242967,103
2024-03-30,183,460,182,13115741,160
2024-03-31,122,264,148,5022176,101
2024-04-01,55,284,100,6867851,40
2024-04-02,22,105,44,1978240,18
2024-04-03,33,175,59,3138848,24
2024-04-04,38,179,57,3596144,29
2024-04-05,46,332,101,6463382,40
2024-04-06,30,299,71,5052050,28
2024-04-07,15,162,73,3889290,14
2024-04-08,25,273,86,5018730,22
2024-04-09,14,112,46,1961228,10
2024-04-10,12,126,35,2231380,12
2024-04-11,19,144,45,3479840,16
2024-04-12,36,295,109,6374754,35
2024-04-13,35,306,62,3973110,34
2024-04-14,26,213,78,5103510,26
2024-04-15,14,99,21,2466910,14
2024-04-16,5,62,22,1704850,5
2024-04-17,7,577,169,8194840,4
2024-04-18,13,588,173,8048400,8
2024-04-19,5,15,173,511800,5
